Team,Player,Status,Injury
ATL,C.J. Henderson,Active,"Henderson is expected to step into a starting role at cornerback in Week 3, Tori McElhaney of the Falcons' official website reports."
ATL,Brian Robinson Jr.,Active,"Robinson (ankle) was a full participant in Tuesday's practice, Tori McElhaney of the Falcons' official site reports."
ATL,Tua Tagovailoa,Active,"Tagovailoa (oblique) was a full participant in Tuesday's practice, Tori McElhaney of the team's official site reports."
ATL,A.J. Terrell Jr.,Injured Reserve,Groin
ATL,Zachariah Branch,Active,Branch caught both of his targets for 14 yards and returned one punt for seven yards in Sunday's 34-3 loss against the Panthers.
ATL,Austin Hooper,Active,Hooper caught two of his four targets for 20 yards in Sunday's 34-3 loss to the Panthers.
ATL,Olamide Zaccheaus,Active,Zaccheaus caught one of three targets for three yards while returning four kickoffs for 79 yards in Sunday's 34-3 loss to the Panthers.
ATL,Jahan Dotson,Active,Dotson caught two of four targets for 11 yards in Sunday's 34-3 loss to the Panthers.
ATL,Nick Folk,Active,Folk made one of his two field-goal attempts in Sunday's 34-3 loss to the Panthers.
ATL,Michael Penix Jr.,Active,"The Falcons announced that Penix (knee) has been named the team's starting quarterback for Thursday's game against the Packers, Tori McElhaney of the team's official site reports."
ATL,Kyle Pitts Sr.,Active,Pitts brought in one of three targets for 15 yards in the Falcons' 34-3 loss to the Panthers on Sunday.
ATL,Drake London,Active,London brought in four of five targets for 51 yards and rushed once for minus-2 yards in the Falcons' 34-3 loss to the Panthers on Sunday.
ATL,Bijan Robinson,Active,Robinson rushed 16 times for 72 yards and brought in three of four targets for nine yards in the Falcons' 34-3 loss to the Panthers on Sunday.
ATL,Chris Lindstrom,Active,Lindstrom (concussion) is active for Sunday's game against the Panthers.
BAL,Chris Moore,Questionable,Ankle
BAL,Teddye Buchanan,Active,"Buchanan (knee) is expected to play in Sunday's game versus Dallas, Matt Zenitz of CBSSports.com reports."
BAL,Zay Flowers,Questionable,Hamstring
BAL,John Simpson,Active,
BAL,Zion Young,Active,
BAL,Ronnie Stanley,Questionable,Toe
BAL,Nnamdi Madubuike,Active,Madubuike (neck) was a full participant in Wednesday's practice.
BAL,Malaki Starks,Questionable,Hamstring
BAL,Trey Hendrickson,Questionable,Finger
BAL,Kyle Hamilton,Active,Hamilton tallied 13 tackles (seven solo) during the Ravens' 24-17 loss to the Saints on Sunday.
BAL,Roquan Smith,Active,Smith recorded eight tackles (two solo) during the Ravens' 24-17 loss to the Saints on Sunday.
BAL,Elijah Sarratt,Active,Sarratt was active for Sunday's 24-17 loss to the Saints but did not play any snaps in the contest.
BAL,Devontez Walker,Active,Walker caught one of his two targets for 47 yards in Sunday's 24-17 loss to the Saints.
BAL,LaJohntay Wester,Active,Wester caught one of his two targets for 14 yards in Sunday's 24-17 loss to the Saints.
BAL,Justice Hill,Active,Hill rushed twice for six yards and caught two targets for 12 yards in Sunday's 24-17 loss to the Saints.
BAL,Mark Andrews,Active,Andrews caught six of seven targets for 49 yards in Sunday's 24-17 loss to the Saints.
BAL,Andrew Vorhees,Active,
BAL,Gerad Lichtenhan,Active,
BAL,Joe Fagnano,Active,
BAL,Tyler Loop,Active,Loop went 1-for-2 on field-goal attempts and 2-for-2 on PATs in Sunday's 24-17 loss to the Saints.
BAL,Rashod Bateman,Active,Bateman caught seven of nine targets for 88 yards and a touchdown in Sunday's 24-17 loss to New Orleans.
BAL,Derrick Henry,Active,Henry carried the ball 16 times for 68 yards and a touchdown and caught all three of his targets for 19 yards in Sunday's 24-17 loss to the Saints.
BAL,Lamar Jackson,Active,Jackson completed 21 of 31 passes for 235 yards and a touchdown and an interception while adding 34 rushing yards on four carries in Sunday's 24-17 loss to the Saints.
BAL,T.J. Tampa,Injured Reserve,Knee
BAL,Keondre Jackson,Active,
BUF,DJ Moore,Questionable,Shoulder - AC Joint
BUF,Keon Coleman,Questionable,Ankle
BUF,Ed Oliver,Questionable,Hip
BUF,Ty Johnson,Active,Johnson (hamstring) practiced fully Wednesday.
BUF,T.J. Sanders,Questionable,Surgery
BUF,Ar'maj Reed-Adams,Questionable,Elbow
BUF,Jordan Hancock,Questionable,Hamstring
BUF,Jude Bowry,Active,
BUF,Jalon Kilgore,Active,
BUF,Skyler Bell,Active,
BUF,Bradley Chubb,Active,"Chubb logged four tackles (two solo), including 1.5 sacks, in the Bills' 41-31 win over the Lions on Thursday night."
BUF,Cole Bishop,Active,Bishop logged six tackles (five solo) in the Bills' 41-31 win over the Lions on Thursday night.
BUF,Christian Benford,Active,Benford logged eight tackles (five solo) and two passes defensed during the Bills' 41-31 win over the Lions on Thursday night.
BUF,Terrel Bernard,Active,Bernard logged five tackles (three solo) and a pass defensed in the Bills' 41-31 win over the Lions on Thursday night.
BUF,Greg Rousseau,Active,"Rousseau logged three solo tackles, including 2.0 sacks, in Thursday night's 41-31 win over the Lions."
BUF,Jackson Hawes,Active,Hawes accrued zero targets during Thursday's 41-31 victory over Detroit.
BUF,Ray Davis,Active,Davis returned one kickoff for 31 yards during Thursday's 41-31 win versus the Lions.
BUF,Dawson Knox,Active,Knox caught both of his passes for five yards and a touchdown during the Bills' 41-31 win over the Lions on Thursday.
BUF,Joshua Palmer,Active,Palmer caught one of three targets for a 43-yard touchdown in Thursday's 41-31 win over the Lions.
BUF,Khalil Shakir,Active,Shakir brought in three of six targets for 38 yards and returned one kickoff for 11 yards in the Bills' 41-31 win over the Lions on Thursday.
BUF,Dalton Kincaid,Active,Kincaid brought in seven of eight targets for 95 yards and a touchdown in the Bills' 41-31 win over the Lions on Thursday.
BUF,Tyler Bass,Active,Bates hit five of his six extra-point attempts in Thursday's 41-31 win over the Lions.
BUF,James Cook III,Active,Cook rushed 21 times for 135 yards and a touchdown and brought in one of three targets for four yards in the Bills' 41-31 win over the Lions on Thursday.
BUF,Josh Allen,Active,Allen completed 20 of 31 passes for 248 yards with three touchdowns and no interceptions while rushing 14 times for 69 yards and another pair of scores in the Bills' 41-31 win over the Lions on Thursday. He also committed a fumble recovered by Buffalo.
BUF,Jedrick Wills Jr.,Active,
CAR,Jaelan Phillips,Active,Phillips (back) was a full participant in Thursday's practice.
CAR,Devin Lloyd,Questionable,Calf
CAR,Xavier Legette,Questionable,Knee
CAR,Jalen Coker,Questionable,Ankle
CAR,Trevis Gipson,Active,Gipson (head) was a full participant in Wednesday's practice.
CAR,Bobby Brown III,Active,Brown (back) was a full participant in Wednesday's practice.
CAR,Isaiah Simmons,Active,"The Panthers signed Simmons to the active roster from their practice squad Wednesday, Darin Gantt of the team's official site reports."
CAR,Patrick Jones II,Active,Jones (back) was a full participant at the Panthers' practice Wednesday.
CAR,Nick Scott,Questionable,Ribs
CAR,Jonathon Brooks,Injured Reserve,Abdomen
CAR,AJ Dillon,Active,Dillon handled three carries for minus-3 yards during Sunday's 34-3 win at Atlanta. He also recorded a tackle in punt coverage.
CAR,Bobby Okereke,Active,Okereke recorded nine tackles (six solo) and an interception in Sunday's 34-3 win over the Falcons.
CAR,Haynes King,Active,
CAR,Tyrel Dodson,Active,
CAR,Ja'Tavion Sanders,Active,
CAR,Albert Reese IV,Active,
CAR,Chau Smith-Wade,Active,
CAR,Darren Waller,Active,Waller caught all three of his targets for 33 yards and two touchdowns in the Panthers' 34-3 win over the Falcons on Sunday.
CAR,Ryan Fitzgerald,Active,Fitzgerald made both of his field-goal tries and all four of his extra-point attempts during the Panthers' 34-3 win over the Falcons on Sunday.
CAR,Bryce Young,Active,Young completed 23 of 36 passes for 287 yards with three touchdowns and no interceptions and added one carry for six yards in the Panthers' 34-3 win over the Falcons on Sunday.
CAR,Chuba Hubbard,Active,Hubbard rushed 12 times for 53 yards and brought in both targets for 11 yards and a touchdown in the Panthers' 34-3 win over the Falcons on Sunday.
CAR,Tetairoa McMillan,Active,McMillan brought in five of 10 targets for 101 yards in the Panthers' 34-3 win over the Falcons on Sunday.
CAR,Claudin Cherelus,Questionable,Shoulder
CAR,Kenny Pickett,Active,"Pickett will be the Panthers' backup quarterback against the Falcons on Sunday, Darin Gantt of the Panthers' official site reports."
CAR,John Metchie III,Active,"Metchie is now the No. 1 returner on the Panthers' depth chart, Mike Kaye of ESPN.com reported Tuesday."
CHI,Anthony Johnson Jr.,Injured Reserve,Undisclosed
CHI,Cairo Santos,Questionable,Hip
CHI,Tyson Bagent,Questionable,Concussion
CHI,Kyle Monangai,Questionable,Knee
CHI,Caleb Williams,Doubtful,Hamstring
CHI,Shemar Turner,Out,Knee - ACL
CHI,Noah Sewell,Out,Achilles
CHI,Case Keenum,Active,"Keenum will work with the first-team offense at Wednesday's practice, Brad Biggs of the Chicago Tribune reports."
CHI,Sam Roush,Active,Roush caught one of three targets for nine yards during the Bears' 9-3 loss to the Vikings on Sunday.
CHI,Devin Bush,Active,Bush recorded four tackles (three solo) and a pass defensed during Sunday's 9-3 loss versus the Vikings.
CHI,T.J. Edwards,Active,Edwards recorded four tackles (two solo) during Sunday's 9-3 loss versus the Vikings.
CHI,Cole Kmet,Active,Kmet failed to catch his only target in Sunday's 9-3 loss to the Vikings.
CHI,Kalif Raymond,Active,Raymond caught all five targets for 40 yards in Sunday's 9-3 loss to the Vikings.
CHI,Ozzy Trapilo,Active,
CHI,Jordan McFadden,Active,
CHI,Jayden Loving,Active,
CHI,Jamree Kromah,Active,
CHI,Colston Loveland,Active,Loveland caught one of three targets for three yards in Sunday's 9-3 loss to the Vikings.
CHI,Luther Burden III,Active,Burden caught three of seven targets for 32 yards in Sunday's 9-3 loss to the Vikings.
CHI,Rome Odunze,Active,Odunze caught three of four targets for 43 yards in Sunday's 9-3 loss to the Vikings.
CHI,D'Andre Swift,Active,Swift carried the ball 16 times for 45 yards and caught all five of his targets for 54 yards in Sunday's 9-3 loss to the Vikings.
CHI,Tyrique Stevenson Sr.,Questionable,Hamstring
CHI,Malik Muhammad II,Active,Muhammad (ankle) does not have an injury designation for Sunday's NFC North clash against the Vikings.
CHI,Xavier Woods,Active,Woods (groin) does not carry an injury designation into Sunday's game against the Vikings.
CHI,Dayo Odeyingbo,Active,
CIN,Jonathan Allen,Active,
CIN,Andrei Iosivas,Out,Thumb
CIN,Erick All Jr.,Active,All notched two receptions (on three targets) for five yards during Sunday's 20-6 win versus the Texans.
CIN,Drew Sample,Active,Sample notched zero targets during Sunday's 20-6 victory over the Texans.
CIN,Barrett Carter,Active,Carter registered five total tackles (two solo) during Sunday's 20-6 win over the Texans.
CIN,Cedric Johnson,Active,"Johnson recorded four total tackles (three solo), including 2.0 sacks, during Sunday's 20-6 win over Houston."
CIN,Dax Hill,Active,Hill recorded 10 total tackles (four solo) and four passes defensed during Sunday's 20-6 win over the Texans.
CIN,Demetrius Knight Jr.,Active,Knight recorded 12 total tackles (four solo) during Sunday's 20-6 win over Houston.
CIN,B.J. Hill,Questionable,Achilles
CIN,Samaje Perine,Active,Perine logged two carries for six yards and hauled in his lone target for 16 yards during the Bengals' 20-6 win over the Texans on Sunday.
CIN,Mike Gesicki,Active,Gesicki wasn't targeted in Sunday's 20-6 win over the Texans.
CIN,Myles Hinton,Active,
CIN,Ke'Shawn Williams,Active,
CIN,Connor Lew,Active,
CIN,Landon Robinson,Active,
CIN,Josh Newton,Active,
CIN,Evan McPherson,Active,McPherson made both field-goal attempts and went 2-for-2 on PATs in Sunday's 20-6 win over the Texans.
CIN,Joe Burrow,Active,Burrow (back) completed 20 of 31 passes for 207 yards with two touchdowns and no interceptions while adding one rush for minus-1 yard in the Bengals' 20-6 win over the Texans on Sunday.
CIN,Tee Higgins,Active,Higgins secured five of 10 targets for 95 yards in the Bengals' 20-6 win over the Texans on Sunday.
CIN,Chase Brown,Active,Brown rushed 20 times for 80 yards and brought in three of five targets for two yards in the Bengals' 20-6 win over the Texans on Sunday.
CIN,Ja'Marr Chase,Active,Chase brought in seven of nine targets for 75 yards and two touchdowns in the Bengals' 20-6 win over the Texans on Sunday.
CIN,Shemar Stewart,Active,Stewart (knee) was a full participant in Wednesday's practice.
CIN,Jack Endries,Active,Endries (coach's decision) is inactive for Sunday's matchup with the Bucs.
CIN,DJ Turner II,Active,Turner (hamstring) does not carry an injury designation into Sunday's game versus Tampa Bay.
CIN,Myles Murphy,Active,Murphy (undisclosed) is not listed on the injury report ahead of Sunday's game against Tampa Bay.
CLE,Quinshon Judkins,Active,"Judkins (personal) was a limited participant at Thursday's practice, Daniel Oyefusi of ESPN.com reports."
CLE,Tytus Howard,Active,
CLE,Mason Graham,Active,
CLE,Tyson Campbell,Questionable,Hip
CLE,Quincy Williams,Questionable,Knee
CLE,Grant Delpit,Questionable,Shoulder
CLE,Blake Whiteheart,Active,Whiteheart caught one of his two targets for a 17-yard touchdown in Sunday's 23-19 win over the Buccaneers.
CLE,Jaleel McLaughlin,Active,McLaughlin logged one carry for three yards and could not catch his sole target in Sunday's 23-19 win over the Buccaneers.
CLE,Raheim Sanders,Active,"Sanders caught his sole target for seven yards, had two rushes for four yards and returned two kickoffs for 50 yards in Sunday's 23-19 win over the Buccaneers."
CLE,Carson Schwesinger,Active,Schwesinger recorded 10 tackles (five solo) during Sunday's 23-19 win at Tampa Bay.
CLE,Teven Jenkins,Questionable,Back
CLE,Jerry Jeudy,Active,Jeudy failed to haul in his lone target during the Browns' 23-19 win over the Buccaneers on Sunday.
CLE,Daniel Thomas,Active,
CLE,Taylen Green,Active,
CLE,Parker Brailsford,Active,
CLE,Justin Jefferson,Active,
CLE,Toriano Pride Jr.,Active,
CLE,KC Concepcion,Active,Concepcion caught all six targets for 28 yards in Sunday's 23-19 win over the Bucs. He added one rushing attempt for minus-6 yards.
CLE,Denzel Boston,Active,Boston caught five of seven targets for 95 yards and a touchdown in the Browns' 23-19 win over Tampa Bay on Sunday.
CLE,Andre Szmyt,Active,Szmyt made all three of his field-goal attempts and both of his extra-point tries during the Browns' 23-19 win over the Buccaneers on Sunday.
CLE,Deshaun Watson,Active,Watson completed 24 of 30 passes for 238 yards with two touchdowns and no interceptions while adding seven rushes for 22 yards in the Browns' 23-19 win over the Buccaneers on Sunday.
CLE,Harold Fannin Jr.,Active,Fannin secured five of six targets for 54 yards in the Browns' 23-19 win over the Buccaneers on Sunday.
CLE,Noah Igbinoghene,Active,
CLE,Shedeur Sanders,Active,"The Browns plan to re-evaluate their quarterback situation following Sunday's game against the Buccaneers, with Sanders being next in line to start if Cleveland elects to bench Deshaun Watson, Ian Rapoport of ESPN reports."
CLE,Elgton Jenkins,Active,Jenkins (back) does not carry an injury designation into Sunday's game against the Buccaneers.
DAL,Malik Hooker,Out,Forearm
DAL,DeMarvion Overshown,Out,Hamstring
DAL,Markquese Bell,Active,"Bell is set to start Sunday's game against the Ravens, Jon Machota of The Athletic reports."
DAL,Ryan Flournoy,Active,Flournoy caught five of six targets for 23 yards Sunday in a 37-20 victory versus Washington.
DAL,Emari Demercado,Active,Demercado had three carries for eight yards in Sunday's 37-20 win over the Commanders.
DAL,Cobie Durant,Out,Hamstring
DAL,P.J. Locke,Out,Foot
DAL,Caelen Carson,Active,
DAL,Ajani Cornelius,Active,
DAL,Camden Brown,Active,
DAL,James Houston,Active,
DAL,Brandon Aubrey,Active,Aubrey went 3-for-3 on field-goal attempts and made all four PATs in Sunday's 37-20 win over the Commanders.
DAL,Dak Prescott,Active,Prescott completed 26 of 31 passes for 279 yards with four touchdowns and no interceptions while rushing four times for 26 yards in the Cowboys' 37-20 win over the Commanders on Sunday.
DAL,George Pickens,Active,Pickens brought in six of eight targets for 40 yards in the Cowboys' 37-20 win over the Commanders on Sunday.
DAL,Javonte Williams,Active,Williams rushed 12 times for 30 yards and brought in three of four targets for 20 yards in the Cowboys' 37-20 win over the Commanders on Sunday.
DAL,CeeDee Lamb,Active,Lamb brought in eight of nine targets for 153 yards and two touchdowns in the Cowboys' 37-20 win over the Commanders on Sunday.
DAL,Jake Ferguson,Active,Ferguson caught all four of his targets for 43 yards and two touchdowns in the Cowboys' 37-20 win over the Commanders on Sunday.
DAL,Dee Winters,Active,"Winters (shoulder) has returned to Sunday's game against the Commanders, Tommy Yarrish of the Cowboys' official site reports."
DAL,Tyler Goodson,Active,"Goodson (coach's decision) is inactive for Sunday's game against the Commanders, Todd Archer of ESPN.com reports."
DAL,Caleb Downs,Active,"Downs totaled eight tackles (four solo), including 1.0 sacks, during Dallas' loss to the Giants on Sunday."
DAL,Donovan Ezeiruaku,Active,"Ezeiruaku tallied 10 tackles (four solo), including 0.5 sacks, during Dallas' loss to the Giants on Sunday."
DAL,KaVontae Turpin,Active,Turpin returned five kickoffs for 122 yards and caught his only target for eight yards in Sunday's 28-20 loss to the Giants.
DAL,Jonathan Mingo,Active,Mingo caught his sole target for 10 yards in Sunday's 28-20 loss to the Giants.
DAL,Luke Schoonmaker,Active,Schoonmaker finished with one catch for 12 yards in Sunday's 28-20 loss to the Giants.
DAL,Brevyn Spann-Ford,Active,Spann-Ford caught both of his targets for 14 yards and made one tackle on kick coverage in Sunday's 28-20 loss to the Giants.
DEN,Jonah Coleman,Questionable,Ankle
DEN,RJ Harvey,Active,Harvey (hamstring) was listed as a full participant on Thursday's injury report.
DEN,J.K. Dobbins,Active,Dobbins (hip) was listed as a full participant on Thursday's injury report.
DEN,Marvin Mims Jr.,Questionable,Foot
DEN,Troy Franklin,Active,Franklin caught one of two targets for 27 yards in Sunday's 20-13 win over the Jaguars.
DEN,Nate Adkins,Active,Adkins caught all three of his targets for 32 yards and a touchdown while rushing once for six yards in Sunday's 20-13 win over the Jaguars.
DEN,Tyler Badie,Active,Badie rushed one time for one yard in Denver's 20-13 win over the Jaguars on Sunday. He added two catches for 28 yards on three targets.
DEN,Alex Singleton,Active,Singleton recorded nine total tackles (five solo) and a pass defensed in Sunday's 20-13 win over the Jaguars.
DEN,Pat Bryant,Active,Bryant failed to catch his only target while adding a 16-yard rush during Sunday's 20-13 win over the Jaguars.
DEN,Evan Engram,Active,Engram hauled in his lone target for 17 yards during the Broncos' 20-13 win over the Jaguars on Sunday.
DEN,Wil Lutz,Active,Lutz made both of his field-goal attempts and both PATs in Sunday's 20-13 win over the Jaguars.
DEN,Bo Nix,Active,Nix completed 22 of 31 passes for 288 yards with one touchdown and one interception while adding five carries for six yards in the Broncos' 20-13 win over the Jaguars on Sunday.
DEN,Courtland Sutton,Active,Sutton secured three of four targets for 25 yards in the Broncos' 20-13 win over the Jaguars on Sunday.
DEN,Jaylen Waddle,Active,Waddle brought in eight of 10 targets for 138 yards in the Broncos' 20-13 win over the Jaguars on Sunday.
DEN,Talanoa Hufanga,Active,Hufanga made six tackles (two solo) in Monday's 31-10 loss to the Chiefs.
DEN,Brandon Jones,Active,Jones recorded five tackles (one solo) and an interception during Monday's 31-10 loss at Kansas City.
DEN,Zach Allen,Active,Allen recorded five tackles (three solo) including 2.0 sacks during Monday's 31-10 loss at Kansas City.
DEN,Adam Trautman,Active,Trautman gathered in two of three targets for 10 yards during Monday's 31-10 loss to the Chiefs.
DEN,Lil'Jordan Humphrey,Active,"The Broncos signed Humphrey on Tuesday, Zac Stevens of TheDNVR.com reports."
DEN,Luke Wattenberg,Active,"Wattenberg (undisclosed) was not listed on the Broncos' official injury report Thursday, Aric DiLalla of the team's official site reports."
DEN,Riley Moss,Active,"Moss (ribs) wasn't listed on the Broncos' injury report Thursday, Aric DiLalla of the team's official site reports."
DEN,Jarrett Stidham,Active,"Coach Sean Payton said Wednesday that Stidham will be the Broncos' backup quarterback to begin the 2026 season, Zac Stevens of TheDNVR.com reports."
DEN,Jonathon Cooper,Out,Personal
DEN,Nick Gargiulo,Out,Knee - ACL
DEN,Frank Crum,Injured Reserve,Undisclosed
DET,Thomas Harper,Questionable,Ankle
DET,Ahmed Hassanein,Active,
DET,Tate Ratledge,Questionable,Elbow
DET,Ben Bartch,Questionable,Foot
DET,Avonte Maddox,Injured Reserve,Foot
DET,Christian Mahogany,Questionable,Hip
DET,Blake Miller,Questionable,Knee
DET,Jimmy Rolder,Active,
DET,Keith Abney II,Active,
DET,Ennis Rakestraw Jr.,Active,
DET,Mekhi Wingo,Active,
DET,Aidan Hutchinson,Active,"Hutchinson logged three tackles (two solo), including 1.0 sacks, during the Lions' 41-31 loss to the Bills on Thursday night."
DET,Jack Campbell,Active,Campbell made six tackles (two solo) in the Lions' 41-31 loss to the Bills on Thursday night.
DET,Jacob Saylors,Active,Saylors logged one tackle on kick coverage and recorded two kickoff returns for 58 yards during Thursday night's 41-31 loss to the Bills.
DET,Sione Vaki,Active,Vaki recorded one carry for seven yards and caught his only target for 13 yards during Thursday's 41-31 loss at Buffalo.
DET,Isaac TeSlaa,Active,TeSlaa caught two passes (on five targets) for 26 yards during the Lions' 41-31 loss to the Bills on Thursday.
DET,Jameson Williams,Active,Williams brought in two of four targets for 33 yards in the Lions' 41-31 loss to the Bills on Thursday.
DET,Sam LaPorta,Active,LaPorta brought in six of seven targets for 52 yards and a touchdown in the Lions' 41-31 loss to the Bills on Thursday.
DET,Derrick Barnes,Active,"Barnes recorded seven tackles (five solo), including 1.0 sacks, in Thursday's 41-31 loss to the Bills."
DET,Chuck Clark,Active,Clark finished with 11 tackles (four solo) in Thursday's 41-31 loss to the Bills.
DET,Jared Goff,Active,"Goff completed 26 of 38 passes for 327 yards with four touchdowns and no interceptions while adding three rushes for seven yards in the Lions' 41-31 loss to the Bills on Thursday. He also committed two fumbles, losing one."
DET,Jake Bates,Active,Bates made all four of his extra-point attempts and his only field-goal try in Thursday's 41-31 loss to the Bills.
DET,Amon-Ra St. Brown,Active,St. Brown brought in nine of 13 targets for 142 yards and two touchdowns in the Lions' 41-31 loss to the Bills on Thursday.
DET,Jahmyr Gibbs,Active,Gibbs rushed 16 times for 52 yards and brought in six of eight targets for 61 yards and a touchdown in the Lions' 41-31 loss to the Bills on Thursday.
DET,Levi Onwuzurike,Active,Onwuzurike was signed to the active roster by the Lions ahead of Thursday night's contest against the Bills.
GB,Anthony Campbell,Out,Ankle
GB,Javon Hargrave,Active,"Hargrave (concussion/knee) is active for Thursday Night Football against the Falcons, Mike Spofford of the Packers' official site reports."
GB,Jayden Reed,Out,Neck
GB,Zach Bako-Bewele,Out,Knee
GB,Donovan Jennings,Active,"Jennings (hand) does not have any injury designation ahead of Thursday night's game against the Falcons, Wes Hodkiewicz of the Packers' official site reports."
GB,Aaron Banks,Out,Toe
GB,Warren Brinson,Out,Calf
GB,Edgerrin Cooper,Active,"Cooper (shoulder) does not have any injury designation ahead of Thursday night's game against the Falcons, Wes Hodkiewicz of the Packers' official site reports."
GB,Anthony Belton,Active,
GB,Brandon Cisse,Active,
GB,Skyy Moore,Active,Moore caught two of three targets for six yards during Sunday's 20-17 overtime win versus the Jets.
GB,Kaleb Johnson,Active,Johnson compiled eight carries for 32 yards during Sunday's 20-17 overtime win versus the Jets.
GB,Jonnu Smith,Active,Smith played 13 of the Packers' 59 snaps during Sunday's 20-17 overtime win against the Jets.
GB,Chris Brooks,Active,Brooks tallied four carries for 11 yards and caught one of two targets for 15 yards during Sunday's 20-17 overtime win versus the Jets.
GB,Benjamin St-Juste,Active,"St-Juste (hamstring) was a full participant in Monday's estimated practice, Tom Silverstein of the Milwaukee Journal Sentinel reports."
GB,Evan Williams,Active,Williams made 10 tackles (seven solo) and defensed two passes during Sunday's 20-17 overtime win over the Jets.
GB,Lukas Van Ness,Active,"Van Ness made 10 tackles (seven solo), including 1.5 sacks, in Sunday's 20-17 overtime win over the Jets."
GB,Bo Melton,Active,"Melton (neck) was a full participant in Monday's estimated practice, Tom Silverstein of the Milwaukee Journal Sentinel reports."
GB,John Williams,Active,
GB,Travis Glover,Active,
GB,MarShawn Lloyd,Active,Lloyd rushed six times for 20 yards in the Packers' 20-17 overtime win over the Jets on Sunday. He added two catches for six yards and a touchdown on two targets.
GB,Trey Smack,Active,Smack made both of his field-goal attempts and went 2-for-2 on extra-point tries during the Packers' 20-17 overtime win over the Jets on Sunday.
GB,Tucker Kraft,Active,Kraft caught two of three targets for 15 yards in Sunday's 20-17 overtime win over the Jets.
GB,Matthew Golden,Active,Golden caught four of six targets for 58 yards in Sunday's 20-17 overtime win over the Jets.
GB,Christian Watson,Active,Watson caught four of 11 targets for 41 yards and a touchdown in Sunday's 20-17 overtime win over the Jets.
HOU,Logan Hall,Active,
HOU,Nico Collins,Questionable,Hamstring
HOU,M.J. Stewart,Out,Quadriceps
HOU,Trent Brown,Questionable,Knee
HOU,Will Anderson Jr.,Active,"Anderson compiled eight total tackles (four solo), including 1.0 sacks, while also adding a pass defensed in Sunday's 20-6 loss to Cincinnati."
